item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
LD033_high,LD033,4,3,desembalável,que não é embalável,low_des,rev,desembalável,desembalar,-,embalar,ver,316,10.07085612,2.499687083,4.003066391,7,high,incorrect
LD036_low,LD036,3,3,descredenciável,que pode ser descredenciado,low_des,rev,descredenciável,descredenciar,-,credenciar,ver,382,12.17426278,2.582063363,4.085442672,10,low,correct
LD037_low,LD037,3,3,descolável,que pode ser descolado,low_des,rev,descolável,descolar,colável,colar,ver,392,12.49296076,2.593286067,4.096665376,5,low,correct
LD040_high,LD040,4,3,desamarrável,que não é amarrável,low_des,rev,desamarrável,desamarrar,-,amarrar,ver,554,17.65586801,2.743509765,4.246889074,7,high,incorrect
LD042_low,LD042,3,3,descongelável,que pode ser descongelado,low_des,rev,descongelável,descongelar,-,congelar,ver,636,20.26919143,2.803457116,4.306836424,8,low,correct
LD044_high,LD044,4,3,descontaminável,que não é contaminável,low_des,rev,descontaminável,descontaminar,-,contaminar,ver,803,25.59144768,2.904715545,4.408094854,10,high,incorrect
LD046_low,LD046,3,3,desvinculável,que pode ser desvinculado,low_des,rev,desvinculável,desvincular,-,vincular,ver,979,31.2005321,2.990782692,4.494162001,8,low,correct
LD048_high,LD048,4,3,descruzável,que não é cruzável,low_des,rev,descruzável,descruzar,-,cruzar,ver,1283,40.88895065,3.108226656,4.611605965,6,high,incorrect
LD050_high,LD050,4,3,descaracterizável,que não é caracterizável,low_des,rev,descaracterizável,descaracterizar,-,caracterizar,ver,1575,50.19493162,3.197280558,4.700659867,12,high,incorrect
LD051_low,LD051,3,3,descarregável,que pode ser descarregado,low_des,rev,descarregável,descarregar,-,carregar,ver,1685,53.70060938,3.226599905,4.729979214,8,low,correct
LD054_high,LD054,4,3,desmontável,que não é montável,low_des,rev,desmontável,desmontar,-,montar,ver,3319,105.7758591,3.521007252,5.024386561,6,high,incorrect
