item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
HI025_low,HI025,1,4,infalível,que pode ser infalhado,high_in,neg,infalível,-,falível,falhar,verb,488,15.55246135,2.688419822,4.191799131,6,low,incorrect
HI025_high,HI025,1,1,infalível,que não é falível,high_in,neg,infalível,-,falível,falhar,verb,488,15.55246135,2.688419822,4.191799131,6,high,correct
HI026_low,HI026,2,1,insolucionável,que pode ser insolucionado,high_in,neg,insolucionável,-,solucionável,solucionar,verb,498,15.87115933,2.697229343,4.200608652,10,low,incorrect
HI026_high,HI026,2,2,insolucionável,que não é solucionável,high_in,neg,insolucionável,-,solucionável,solucionar,verb,498,15.87115933,2.697229343,4.200608652,10,high,correct
HI027_low,HI027,3,2,imperdoável,que pode ser imperdoado,high_in,neg,imperdoável,-,perdoável,perdoar,verb,516,16.44481569,2.712649702,4.21602901,7,low,incorrect
HI027_high,HI027,3,3,imperdoável,que não é perdoável,high_in,neg,imperdoável,-,perdoável,perdoar,verb,516,16.44481569,2.712649702,4.21602901,7,high,correct
HI028_low,HI028,4,3,inimitável,que pode ser inimitado,high_in,neg,inimitável,-,imitável,imitar,verb,527,16.79538347,2.721810615,4.225189924,6,low,incorrect
HI028_high,HI028,4,4,inimitável,que não é imitável,high_in,neg,inimitável,-,imitável,imitar,verb,527,16.79538347,2.721810615,4.225189924,6,high,correct
HI029_low,HI029,2,1,indelegável,que pode ser indelegado,high_in,neg,indelegável,-,delegável,delegar,verb,528,16.82725327,2.722633923,4.226013231,7,low,incorrect
HI029_high,HI029,2,2,indelegável,que não é delegável,high_in,neg,indelegável,-,delegável,delegar,verb,528,16.82725327,2.722633923,4.226013231,7,high,correct
HI030_low,HI030,3,2,improferível,que pode ser improferido,high_in,neg,improferível,-,proferível,proferir,verb,600,19.12187871,2.77815125,4.281530559,8,low,incorrect
HI030_high,HI030,3,3,improferível,que não é proferível,high_in,neg,improferível,-,proferível,proferir,verb,600,19.12187871,2.77815125,4.281530559,8,high,correct
HI031_low,HI031,1,4,inabalável,que pode ser inabalado,high_in,neg,inabalável,-,abalável,abalar,verb,649,20.68349881,2.812244697,4.315624006,6,low,incorrect
HI031_high,HI031,1,1,inabalável,que não é abalável,high_in,neg,inabalável,-,abalável,abalar,verb,649,20.68349881,2.812244697,4.315624006,6,high,correct
HI032_low,HI032,4,3,inajustável,que pode ser inajustado,high_in,neg,inajustável,-,ajustável,ajustar,verb,675,21.51211355,2.829303773,4.332683082,7,low,incorrect
HI032_high,HI032,4,4,inajustável,que não é ajustável,high_in,neg,inajustável,-,ajustável,ajustar,verb,675,21.51211355,2.829303773,4.332683082,7,high,correct
HI033_low,HI033,4,3,insuportável,que pode ser insuportado,high_in,neg,insuportável,-,suportável,suportar,verb,703,22.40446789,2.846955325,4.350334634,8,low,incorrect
HI033_high,HI033,4,4,insuportável,que não é suportável,high_in,neg,insuportável,-,suportável,suportar,verb,703,22.40446789,2.846955325,4.350334634,8,high,correct
HI034_low,HI034,3,2,inesgotável,que pode ser inesgotado,high_in,neg,inesgotável,-,esgotável,esgotar,verb,773,24.63535374,2.888179494,4.391558803,7,low,incorrect
HI034_high,HI034,3,3,inesgotável,que não é esgotável,high_in,neg,inesgotável,-,esgotável,esgotar,verb,773,24.63535374,2.888179494,4.391558803,7,high,correct
HI035_low,HI035,2,1,inconcebível,que pode ser inconcebido,high_in,neg,inconcebível,-,concebível,conceber,verb,823,26.22884363,2.915399835,4.418779144,8,low,incorrect
HI035_high,HI035,2,2,inconcebível,que não é concebível,high_in,neg,inconcebível,-,concebível,conceber,verb,823,26.22884363,2.915399835,4.418779144,8,high,correct
HI036_low,HI036,1,4,inarticulável,que pode ser inarticulado,high_in,neg,inarticulável,-,articulável,articular,verb,880,28.04542211,2.944482672,4.447861981,9,low,incorrect
HI036_high,HI036,1,1,inarticulável,que não é articulável,high_in,neg,inarticulável,-,articulável,articular,verb,880,28.04542211,2.944482672,4.447861981,9,high,correct
HI037_low,HI037,3,2,inapreciável,que pode ser inapreciado,high_in,neg,inapreciável,-,apreciável,apreciar,verb,907,28.90590665,2.957607287,4.460986596,8,low,incorrect
HI037_high,HI037,3,3,inapreciável,que não é apreciável,high_in,neg,inapreciável,-,apreciável,apreciar,verb,907,28.90590665,2.957607287,4.460986596,8,high,correct
HI038_low,HI038,1,4,incontestável,que pode ser incontestado,high_in,neg,incontestável,-,contestável,contestar,verb,1106,35.24799643,3.043755127,4.547134436,9,low,incorrect
HI038_high,HI038,1,1,incontestável,que não é contestável,high_in,neg,incontestável,-,contestável,contestar,verb,1106,35.24799643,3.043755127,4.547134436,9,high,correct
HI039_low,HI039,2,1,indetectável,que pode ser indetectado,high_in,neg,indetectável,-,detectável,detectar,verb,1123,35.78978299,3.050379756,4.553759065,8,low,incorrect
HI039_high,HI039,2,2,indetectável,que não é detectável,high_in,neg,indetectável,-,detectável,detectar,verb,1123,35.78978299,3.050379756,4.553759065,8,high,correct
HI040_low,HI040,4,3,insegurável,que pode ser insegurado,high_in,neg,insegurável,-,segurável,segurar,verb,1173,37.38327288,3.069298012,4.572677321,7,low,incorrect
HI040_high,HI040,4,4,insegurável,que não é segurável,high_in,neg,insegurável,-,segurável,segurar,verb,1173,37.38327288,3.069298012,4.572677321,7,high,correct
HI041_low,HI041,4,3,incomercializável,que pode ser incomercializado,high_in,neg,incomercializável,-,comercializável,comercializar,verb,1195,38.08440843,3.077367905,4.580747214,13,low,incorrect
HI041_high,HI041,4,4,incomercializável,que não é comercializável,high_in,neg,incomercializável,-,comercializável,comercializar,verb,1195,38.08440843,3.077367905,4.580747214,13,high,correct
HI042_low,HI042,1,4,intraduzível,que pode ser intraduzido,high_in,neg,intraduzível,-,traduzível,traduzir,verb,1304,41.5582164,3.115277591,4.6186569,8,low,incorrect
HI042_high,HI042,1,1,intraduzível,que não é traduzível,high_in,neg,intraduzível,-,traduzível,traduzir,verb,1304,41.5582164,3.115277591,4.6186569,8,high,correct
HI043_low,HI043,2,1,inquestionável,que pode ser inquestionado,high_in,neg,inquestionável,-,questionável,questionar,verb,1306,41.621956,3.115943177,4.619322486,10,low,incorrect
HI043_high,HI043,2,2,inquestionável,que não é questionável,high_in,neg,inquestionável,-,questionável,questionar,verb,1306,41.621956,3.115943177,4.619322486,10,high,correct
HI044_low,HI044,3,2,improcessável,que pode ser improcessado,high_in,neg,improcessável,-,processável,processar,verb,1411,44.96828477,3.149527014,4.652906323,9,low,incorrect
