item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
LR052_high,LR052,3,2,reimplantável,que voltou a poder ser implantado,low_re,res,reimplantável,reimplantar,implantável,implantar,verb,1586,50.5454994,3.20030318,4.70368249,9,high,incorrect,que voltou a poder ser implantado
LR053_high,LR053,3,2,reintegrável,que voltou a poder ser integrado,low_re,res,reintegrável,reintegrar,integrável,integrar,verb,2495,79.5151456,3.39707055,4.90044986,8,high,incorrect,que voltou a poder ser integrado
LR055_low,LR055,2,2,reconquistável,que pode voltar a ficar conquistado,low_re,res,reconquistável,reconquistar,conquistável,conquistar,verb,3215,102.4614,3.50718098,5.01056029,10,low,correct,que pode voltar a ficar conquistado
LR058_low,LR058,2,2,reunível,que pode voltar a ficar unido,low_re,res,reunível,reunir,unível,reunir,verb,7669,244.4094797,3.884738738,5.388118047,6,low,correct,que pode voltar a ficar unido
LR060_high,LR060,3,2,reabrível,que voltou a poder ser aberto,low_re,res,reabrível,reabrir,abrível,abrir,verb,13261,422.625389,4.12257628,5.62595558,5,high,incorrect,que voltou a poder ser aberto
LD003_high,LD003,3,2,despareável,que não pode ser pareado,low_des,rev,despareável,desparear,pareável,parear,ver,4,0.127479191,0.602059991,2.1054393,6,high,incorrect,que não pode ser pareado
LD004_low,LD004,2,2,dessalinizável,que pode deixar de estar salinizado,low_des,rev,dessalinizável,dessalinizar,-,salinizar,ver,5,0.159348989,0.698970004,2.202349313,9,low,correct,que pode deixar de estar salinizado
LD005_low,LD005,2,2,desumidificável,que pode deixar de estar umidificado,low_des,rev,desumidificável,desumidificar,-,umidificar,ver,5,0.159348989,0.698970004,2.202349313,10,low,correct,que pode deixar de estar umidificado
LD006_high,LD006,3,2,desabotoável,que não pode ser abotoado,low_des,rev,desabotoável,desabotoar,-,abotoar,ver,15,0.478,1.1761,2.6795,7,high,incorrect,que não pode ser abotoado
LD011_high,LD011,3,2,desentortável,que não pode ser entortado,low_des,rev,desentortável,desentortar,-,entortar,ver,48,1.529750297,1.681241237,3.184620546,8,high,incorrect,que não pode ser entortado
LD012_low,LD012,2,2,desintoxicável,que pode deixar de estar intoxicado,low_des,rev,desintoxicável,desintoxicar,-,intoxicar,ver,53,1.689099286,1.72427587,3.227655178,9,low,correct,que pode deixar de estar intoxicado
LD013_high,LD013,3,2,desacorrentável,que não pode ser acorrentado,low_des,rev,desacorrentável,desacorrentar,-,acorrentar,ver,57,1.816578478,1.755874856,3.259254164,10,high,incorrect,que não pode ser acorrentado
LD015_low,LD015,2,2,desencravável,que pode deixar de estar encravado,low_des,rev,desencravável,desencravar,-,encravar,ver,60,1.912187871,1.77815125,3.281530559,8,low,correct,que pode deixar de estar encravado
LD017_low,LD017,2,2,desnivelável,que pode deixar de estar nivelado,low_des,rev,desnivelável,desnivelar,nivelável,nivelar,ver,74,2.358365041,1.86923172,3.372611029,7,low,correct,que pode deixar de estar nivelado
LD018_high,LD018,3,2,desemaranhável,que não pode ser emaranhado,low_des,rev,desemaranhável,desemaranhar,emaranhável,emaranhar,ver,75,2.390234839,1.875061263,3.378440572,9,high,incorrect,que não pode ser emaranhado
LD022_high,LD022,3,2,descompactável,que não pode ser compactado,low_des,rev,descompactável,descompactar,-,compactar,ver,85,2.708932818,1.929418926,3.432798235,9,high,incorrect,que não pode ser compactado
LD024_low,LD024,2,2,desgrudável,que pode deixar de estar grudado,low_des,rev,desgrudável,desgrudar,-,grudar,ver,135,4.30242271,2.130333768,3.633713077,6,low,correct,que pode deixar de estar grudado
LD025_low,LD025,2,2,desinflável,que pode deixar de estar inflado,low_des,rev,desinflável,desinflar,-,inflar,ver,143,4.557381093,2.155336037,3.658715346,6,low,correct,que pode deixar de estar inflado
LD026_high,LD026,3,2,desobstruível,que não pode ser obstruído,low_des,rev,desobstruível,desobstruir,obstruível,obstruir,ver,204,6.501438762,2.309630167,3.813009476,8,high,incorrect,que não pode ser obstruído
LD029_low,LD029,2,2,desenrolável,que pode deixar de estar enrolado,low_des,rev,desenrolável,desenrolar,-,enrolar,ver,268,8.541105825,2.428134794,3.931514103,7,low,correct,que pode deixar de estar enrolado
LD030_high,LD030,3,2,destrancável,que não pode ser trancado,low_des,rev,destrancável,destrancar,trancável,trancar,ver,287,9.146631984,2.457881897,3.961261206,7,high,incorrect,que não pode ser trancado
LD035_low,LD035,2,2,desestruturável,que pode deixar de estar estruturado,low_des,rev,desestruturável,desestruturar,-,estruturar,ver,360,11.47312723,2.556302501,4.05968181,10,low,correct,que pode deixar de estar estruturado
LD036_high,LD036,3,2,descredenciável,que não pode ser credenciado,low_des,rev,descredenciável,descredenciar,-,credenciar,ver,382,12.17426278,2.582063363,4.085442672,10,high,incorrect,que não pode ser credenciado
LD037_high,LD037,3,2,descolável,que não pode ser colado,low_des,rev,descolável,descolar,colável,colar,ver,392,12.49296076,2.593286067,4.096665376,5,high,incorrect,que não pode ser colado
LD038_low,LD038,2,2,descolorível,que pode deixar de estar colorido,low_des,rev,descolorível,descolorir,-,colorir,ver,515,16.41294589,2.711807229,4.215186538,7,low,correct,que pode deixar de estar colorido
LD041_low,LD041,2,2,destravável,que pode deixar de estar travado,low_des,rev,destravável,destravar,-,travar,ver,632,20.14171224,2.800717078,4.304096387,6,low,correct,que pode deixar de estar travado
LD042_high,LD042,3,2,descongelável,que não pode ser congelado,low_des,rev,descongelável,descongelar,-,congelar,ver,636,20.26919143,2.803457116,4.306836424,8,high,incorrect,que não pode ser congelado
LD046_high,LD046,3,2,desvinculável,que não pode ser vinculado,low_des,rev,desvinculável,desvincular,-,vincular,ver,979,31.2005321,2.990782692,4.494162001,8,high,incorrect,que não pode ser vinculado
LD047_low,LD047,2,2,desacelerável,que pode deixar de estar acelerado,low_des,rev,desacelerável,desacelerar,acelerável,acelerar,ver,1052,33.52702734,3.02201574,4.525395049,8,low,correct,que pode deixar de estar acelerado
LD049_low,LD049,2,2,desprogramável,que pode deixar de estar programado,low_des,rev,desprogramável,desprogramar,-,programar,ver,1547,49.30257728,3.189490314,4.692869622,9,low,correct,que pode deixar de estar programado
