item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
HI021_high,HI021,1,1,incopiável,que não pode ser copiado,high_in,neg,incopiável,-,copiável,copiar,verb,397,12.65230975,2.598790507,4.102169816,6,high,correct,que não pode ser copiado
HI022_low,HI022,4,3,indatável,que pode deixar de estar datado,high_in,neg,indatável,-,datável,datar,verb,410,13.06661712,2.612783857,4.116163166,5,low,incorrect,que pode deixar de estar datado
HI022_high,HI022,4,4,indatável,que não pode ser datado,high_in,neg,indatável,-,datável,datar,verb,410,13.06661712,2.612783857,4.116163166,5,high,correct,que não pode ser datado
HI023_low,HI023,3,2,inexprimível,que pode deixar de estar expresso,high_in,neg,inexprimível,-,exprimível,exprimir,verb,417,13.2897057,2.620136055,4.123515364,8,low,incorrect,que pode deixar de estar expresso
HI023_high,HI023,3,3,inexprimível,que não pode ser expresso,high_in,neg,inexprimível,-,exprimível,exprimir,verb,417,13.2897057,2.620136055,4.123515364,8,high,correct,que não pode ser expresso
HI024_low,HI024,2,1,inabitável,que pode deixar de estar habitado,high_in,neg,inabitável,-,habitável,habitar,verb,451,14.37327883,2.654176542,4.157555851,7,low,incorrect,que pode deixar de estar habitado
HI024_high,HI024,2,2,inabitável,que não pode ser habitado,high_in,neg,inabitável,-,habitável,habitar,verb,451,14.37327883,2.654176542,4.157555851,7,high,correct,que não pode ser habitado
HI025_low,HI025,1,4,infalível,que pode deixar de falhar,high_in,neg,infalível,-,falível,falhar,verb,488,15.55246135,2.688419822,4.191799131,6,low,incorrect,que pode deixar de falhar
HI025_high,HI025,1,1,infalível,que não pode falhar,high_in,neg,infalível,-,falível,falhar,verb,488,15.55246135,2.688419822,4.191799131,6,high,correct,que não pode falhar
HI026_low,HI026,2,1,insolucionável,que pode deixar de estar solucionado,high_in,neg,insolucionável,-,solucionável,solucionar,verb,498,15.87115933,2.697229343,4.200608652,10,low,incorrect,que pode deixar de estar solucionado
HI026_high,HI026,2,2,insolucionável,que não pode ser solucionado,high_in,neg,insolucionável,-,solucionável,solucionar,verb,498,15.87115933,2.697229343,4.200608652,10,high,correct,que não pode ser solucionado
HI027_low,HI027,3,2,imperdoável,que pode deixar de estar perdoado,high_in,neg,imperdoável,-,perdoável,perdoar,verb,516,16.44481569,2.712649702,4.21602901,7,low,incorrect,que pode deixar de estar perdoado
HI027_high,HI027,3,3,imperdoável,que não pode ser perdoado,high_in,neg,imperdoável,-,perdoável,perdoar,verb,516,16.44481569,2.712649702,4.21602901,7,high,correct,que não pode ser perdoado
HI028_low,HI028,4,3,inimitável,que pode deixar de estar imitado,high_in,neg,inimitável,-,imitável,imitar,verb,527,16.79538347,2.721810615,4.225189924,6,low,incorrect,que pode deixar de estar imitado
HI028_high,HI028,4,4,inimitável,que não pode ser imitado,high_in,neg,inimitável,-,imitável,imitar,verb,527,16.79538347,2.721810615,4.225189924,6,high,correct,que não pode ser imitado
HI029_low,HI029,2,1,indelegável,que pode deixar de estar delegado,high_in,neg,indelegável,-,delegável,delegar,verb,528,16.82725327,2.722633923,4.226013231,7,low,incorrect,que pode deixar de estar delegado
HI029_high,HI029,2,2,indelegável,que não pode ser delegado,high_in,neg,indelegável,-,delegável,delegar,verb,528,16.82725327,2.722633923,4.226013231,7,high,correct,que não pode ser delegado
HI030_low,HI030,3,2,improferível,que pode deixar de estar proferido,high_in,neg,improferível,-,proferível,proferir,verb,600,19.12187871,2.77815125,4.281530559,8,low,incorrect,que pode deixar de estar proferido
HI030_high,HI030,3,3,improferível,que não pode ser proferido,high_in,neg,improferível,-,proferível,proferir,verb,600,19.12187871,2.77815125,4.281530559,8,high,correct,que não pode ser proferido
HI031_low,HI031,1,4,inabalável,que pode deixar de estar abalado,high_in,neg,inabalável,-,abalável,abalar,verb,649,20.68349881,2.812244697,4.315624006,6,low,incorrect,que pode deixar de estar abalado
HI031_high,HI031,1,1,inabalável,que não pode ser abalado,high_in,neg,inabalável,-,abalável,abalar,verb,649,20.68349881,2.812244697,4.315624006,6,high,correct,que não pode ser abalado
HI032_low,HI032,4,3,inajustável,que pode deixar de estar ajustado,high_in,neg,inajustável,-,ajustável,ajustar,verb,675,21.51211355,2.829303773,4.332683082,7,low,incorrect,que pode deixar de estar ajustado
