item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,stimulus_round,trial_role,target_version,experimental_list,filler_rotation,original_version,target_pair_number,target_assignment_method
HD117_high,HD117,,,despraticável,que não é praticável,high_des,neg,despraticável,-,praticável,praticar,ver,2933,93.47411710302264,3.467312062980552,4.970691371776552,8,high,correct,new_high_des,target_high_des,B,B1,1,,29,adjacent_zipf_pair
HD118_low,HD118,,,desassistível,que pode ser desassistido,high_des,neg,desassistível,,assistível,assistir,ver,3447,109.85519319949506,3.5374412834079476,5.040820592203947,8,low,incorrect,new_high_des,target_high_des,B,B1,1,,29,adjacent_zipf_pair
HD119_high,HD119,,,dessubstituível,que não é substituível,high_des,neg,dessubstituível,,substituível,substituir,ver,3533,112.59599581485816,3.5481436374348454,5.051522946230845,10,high,correct,new_high_des,target_high_des,B,B1,1,,30,adjacent_zipf_pair
HD120_low,HD120,,,desobservável,que pode ser desobservado,high_des,neg,desobservável,-,observável,observar,ver,3764,119.95791911891483,3.5756496147552195,5.079028923551219,8,low,incorrect,new_high_des,target_high_des,B,B1,1,,30,adjacent_zipf_pair
HD121_low,HD121,,,descomunizável,que pode ser descomunizado,high_des,neg,descomunizável,-,comunizável,comum,adj,5091,162.2491408699244,3.706803097037338,5.210182405833338,5,low,incorrect,new_high_des,target_high_des,B,B1,1,,31,adjacent_zipf_pair
HD122_high,HD122,,,despreparável,que não é preparável,high_des,neg,despreparável,-,preparável,preparar,ver,5557,177.10046666944996,3.744840396785379,5.248219705581379,8,high,correct,new_high_des,target_high_des,B,B1,1,,31,adjacent_zipf_pair
HD123_low,HD123,,,desentendível,que pode ser desentendido,high_des,neg,desentendível,-,entendível,entender,ver,5801,184.87669734559643,3.763502865467597,5.266882174263596,8,low,incorrect,new_high_des,target_high_des,B,B1,1,,32,adjacent_zipf_pair
HD124_high,HD124,,,despublicável,que não é publicável,high_des,neg,despublicável,-,publicável,publicar,ver,6381,203.36118010037075,3.8048887446223913,5.3082680534183915,8,high,correct,new_high_des,target_high_des,B,B1,1,,32,adjacent_zipf_pair
HD125_high,HD125,,,desaceitável,que não é aceitável,high_des,neg,desaceitável,-,aceitável,aceitar,ver,6425,204.76345120590537,3.807873132003332,5.311252440799332,7,high,correct,new_high_des,target_high_des,B,B1,1,,33,adjacent_zipf_pair
HD126_low,HD126,,,desutilizável,que pode ser desutilizado,high_des,neg,desutilizável,-,utilizável,utilizar,ver,6873,219.04112064407587,3.83714634390906,5.340525652705059,8,low,incorrect,new_high_des,target_high_des,B,B1,1,,33,adjacent_zipf_pair
HD127_high,HD127,,,deselegível,que não é elegível,high_des,neg,deselegível,-,elegível,eleger,ver,7013,223.50289234350416,3.8459038388987827,5.349283147694782,6,high,correct,new_high_des,target_high_des,B,B1,1,,34,adjacent_zipf_pair
HD128_low,HD128,,,desexplicável,que pode ser desexplicado,high_des,neg,desexplicável,-,explicável,explicar,ver,7167,228.41084121287528,3.8553374044695405,5.35871671326554,8,low,incorrect,new_high_des,target_high_des,B,B1,1,,34,adjacent_zipf_pair
HD129_high,HD129,,,desevitável,que não é evitável,high_des,neg,desevitável,-,evitável,evitar,ver,7684,244.88752670290688,3.885587356189656,5.388966664985656,6,high,correct,new_high_des,target_high_des,B,B1,1,,35,adjacent_zipf_pair
HD130_low,HD130,,,despagável,que pode ser despagado,high_des,neg,despagável,-,pagável,pagar,ver,12389,394.8349256015504,4.093036252945163,5.596415561741162,5,low,incorrect,new_high_des,target_high_des,B,B1,1,,35,adjacent_zipf_pair
HD131_high,HD131,,,desconsiderável,que não é considerável,high_des,neg,desconsiderável,-,considerável,considerar,ver,12399,395.153623580081,4.093386660001371,5.596765968797371,10,high,correct,new_high_des,target_high_des,B,B1,1,,36,adjacent_zipf_pair
HD132_low,HD132,,,desrealizável,que pode ser desrealizado,high_des,neg,desrealizável,-,realizável,realizar,ver,12732,405.76626626514974,4.104896629948965,5.608275938744965,8,low,incorrect,new_high_des,target_high_des,B,B1,1,,36,adjacent_zipf_pair
HD133_low,HD133,,,desapresentável,que pode ser desapresentado,high_des,neg,desapresentável,-,apresentável,apresentar,ver,14486,461.66589169941557,4.160948480864697,5.664327789660696,10,low,incorrect,new_high_des,target_high_des,B,B1,1,,37,adjacent_zipf_pair
HD134_high,HD134,,,desusável,que não é usável,high_des,neg,desusável,-,usável,usar,ver,16270,518.5216110692731,4.211387552936859,5.714766861732858,4,high,correct,new_high_des,target_high_des,B,B1,1,,37,adjacent_zipf_pair
HI012_low,HI012,2,1,intolerável,que pode ser intolerado,high_in,neg,intolerável,-,tolerável,tolerar,verb,223,7.106964921,2.348304863,3.851684172,7,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
HI015_low,HI015,2,1,incomputável,que pode ser incomputado,high_in,neg,incomputável,-,computável,computar,verb,279,8.891673601,2.445604203,3.948983512,8,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
HI016_high,HI016,1,1,incontabilizável,que não é contabilizável,high_in,neg,incontabilizável,-,contabilizável,contabilizar,verb,329,10.48516349,2.517195898,4.020575207,12,high,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
HI021_high,HI021,1,1,incopiável,que não é copiável,high_in,neg,incopiável,-,copiável,copiar,verb,397,12.65230975,2.598790507,4.102169816,6,high,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
HI025_high,HI025,1,1,infalível,que não é falível,high_in,neg,infalível,-,falível,falhar,verb,488,15.55246135,2.688419822,4.191799131,6,high,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
HI026_low,HI026,2,1,insolucionável,que pode ser insolucionado,high_in,neg,insolucionável,-,solucionável,solucionar,verb,498,15.87115933,2.697229343,4.200608652,10,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
HI035_low,HI035,2,1,inconcebível,que pode ser inconcebido,high_in,neg,inconcebível,-,concebível,conceber,verb,823,26.22884363,2.915399835,4.418779144,8,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
HI050_high,HI050,1,1,inseparável,que não é separável,high_in,neg,inseparável,-,separável,separar,verb,2011,64.09016348,3.303412071,4.806791379,7,high,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
HI053_low,HI053,2,1,inconvertível,que pode ser inconvertido,high_in,neg,inconvertível,-,convertível,converter,verb,2381,75.88198869,3.376759395,4.880138704,9,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
LD001_low,LD001,1,1,desaparafusável,que pode ser desaparafusado,low_des,rev,desaparafusável,desaparafusar,-,aparafusar,ver,1,0.031869798,0,1.503379309,10,low,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
LD009_low,LD009,1,1,desatolável,que pode ser desatolado,low_des,rev,desatolável,desatolar,-,atolar,ver,45,1.434140903,1.653212514,3.156591823,6,low,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
LD017_high,LD017,2,1,desnivelável,que não é nivelável,low_des,rev,desnivelável,desnivelar,nivelável,nivelar,ver,74,2.358365041,1.86923172,3.372611029,7,high,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
LD034_low,LD034,1,1,desarquivável,que pode ser desarquivado,low_des,rev,desarquivável,desarquivar,arquivável,arquivar,ver,332,10.58077289,2.521138084,4.024517393,8,low,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
LD052_low,LD052,1,1,desarmável,que pode ser desarmado,low_des,rev,desarmável,desarmar,-,armar,ver,2539,80.91741675,3.404662701,4.90804201,5,low,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
LD056_high,LD056,2,1,desconstruível,que não é construível,low_des,rev,desconstruível,desconstruir,-,construir,ver,4343,138.4105321,3.637789829,5.141169138,9,high,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
HD016_low,HD016,2,1,descapotável,que pode ser descapotado,high_des,neg,descapotável,-,capotável,capotar,ver,111,3.537547562,2.045322979,3.548702288,7,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
HD026_high,HD026,1,1,descontornável,que não é contornável,high_des,neg,descontornável,-,contornável,contornar,ver,359,11.44125743,2.555094449,4.058473757,9,high,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
HD037_high,HD037,1,1,desconfiável,que não é confiável,high_des,neg,desconfiável,-,confiável,confiar,ver,936,29.83013079,2.971275849,4.474655158,7,high,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
HD038_low,HD038,2,1,desexportável,que pode ser desexportado,high_des,neg,desexportável,-,exportável,exportar,ver,972,30.97744351,2.987666265,4.491045574,8,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
HD047_low,HD047,2,1,desplanejável,que pode ser desplanejado,high_des,neg,desplanejável,-,planejável,planejar,ver,1676,53.4137812,3.224274014,4.727653323,8,low,incorrect,first_round_retest,old_condition_filler,B,B1,1,1,,
HD059_high,HD059,1,1,desaprovável,que não é aprovável,high_des,neg,desaprovável,-,aprovável,aprovar,ver,5741,182.9645095,3.758987547,5.262366856,7,high,correct,first_round_retest,old_condition_filler,B,B1,1,1,,
