item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,stimulus_round,trial_role,target_version,experimental_list,filler_rotation,original_version,target_pair_number,target_assignment_method
HD102_high,HD102,,,desverificável,que não é verificável,high_des,neg,desverificável,-,verificável,verificar,ver,2224,70.87843042520366,3.34713478291002,4.850514091706019,9,high,correct,new_high_des,target_high_des,A,A1,1,,25,adjacent_zipf_pair
HD111_low,HD111,,,descalculável,que pode ser descalculado,high_des,neg,descalculável,-,calculável,calcular,ver,2267,72.24883173288521,3.3554515201265174,4.8588308289225175,8,low,incorrect,new_high_des,target_high_des,A,A1,1,,25,adjacent_zipf_pair
HD112_high,HD112,,,destransmissível,que não é transmissível,high_des,neg,destransmissível,-,transmissível,transmitir,ver,2275,72.50379011570968,3.3569814009931314,4.860360709789131,10,high,correct,new_high_des,target_high_des,A,A1,1,,26,adjacent_zipf_pair
HD113_low,HD113,,,deslimitável,que pode ser deslimitado,high_des,neg,deslimitável,-,limitável,limitar,ver,2399,76.45564504948902,3.380030247967831,4.88340955676383,7,low,incorrect,new_high_des,target_high_des,A,A1,1,,26,adjacent_zipf_pair
HD104_low,HD104,,,desjustificável,que pode ser desjustificado,high_des,neg,desjustificável,-,justificável,justificar,ver,2543,81.04489594032954,3.405346360175709,4.908725668971709,10,low,incorrect,new_high_des,target_high_des,A,A1,1,,27,adjacent_zipf_pair
HD114_high,HD114,,,desoperável,que não é operável,high_des,neg,desoperável,-,operável,operar,ver,2559,81.55481270597849,3.4080702858871854,4.9114495946831855,6,high,correct,new_high_des,target_high_des,A,A1,1,,27,adjacent_zipf_pair
HD115_low,HD115,,,desalcançável,que pode ser desalcançado,high_des,neg,desalcançável,-,alcançável,alcançar,ver,2640,84.13626633207629,3.4216039268698313,4.924983235665831,8,low,incorrect,new_high_des,target_high_des,A,A1,1,,28,adjacent_zipf_pair
HD116_high,HD116,,,desgravável,que não é gravável,high_des,neg,desgravável,-,gravável,gravar,ver,2931,93.41037750731651,3.4670158184384356,4.970395127234435,6,high,correct,new_high_des,target_high_des,A,A1,1,,28,adjacent_zipf_pair
HD117_low,HD117,,,despraticável,que pode ser despraticado,high_des,neg,despraticável,-,praticável,praticar,ver,2933,93.47411710302264,3.467312062980552,4.970691371776552,8,low,incorrect,new_high_des,target_high_des,A,A1,1,,29,adjacent_zipf_pair
HD118_high,HD118,,,desassistível,que não é assistível,high_des,neg,desassistível,,assistível,assistir,ver,3447,109.85519319949506,3.5374412834079476,5.040820592203947,8,high,correct,new_high_des,target_high_des,A,A1,1,,29,adjacent_zipf_pair
